subject_qid,subject_label,property_pid,property_label,value,value_label_or_literal
Q1,MP,P2,subclass of,Q3,Person
Q8,Margaret Hale,P3,has,Q13,Speech on rural development (Hale)
Q8,Margaret Hale,P3,has,Q16,Speech on education reform (Hale)
Q9,David Okonkwo,P3,has,Q14,Speech on healthcare funding (Okonkwo)
Q10,Priya Raman,P3,has,Q15,Speech on climate policy (Raman)
Q11,Tomas Herrera,P3,has,Q17,Speech on national security (Herrera)
Q12,Eleanor Whitfield,P3,has,Q18,Speech on housing affordability (Whitfield)
Q8,Margaret Hale,P3,has,Q19,Post by Hale on rural development
Q10,Priya Raman,P3,has,Q20,Post by Raman on climate policy
Q9,David Okonkwo,P3,has,Q21,Post by Okonkwo on healthcare
Q12,Eleanor Whitfield,P3,has,Q22,Post by Whitfield on housing
Q11,Tomas Herrera,P3,has,Q23,Post by Herrera on national security
Q8,Margaret Hale,P3,has,Q24,Interview with Hale
Q10,Priya Raman,P3,has,Q25,Interview with Raman
Q26,Sarah Lindqvist,P3,has,Q24,Interview with Hale
Q27,James Pham,P3,has,Q25,Interview with Raman
Q13,Speech on rural development (Hale),P3,has,Q32,Rural development
Q14,Speech on healthcare funding (Okonkwo),P3,has,Q33,Healthcare
Q15,Speech on climate policy (Raman),P3,has,Q34,Climate policy
Q16,Speech on education reform (Hale),P3,has,Q37,Education
Q17,Speech on national security (Herrera),P3,has,Q36,National security
Q18,Speech on housing affordability (Whitfield),P3,has,Q35,Housing affordability
Q19,Post by Hale on rural development,P3,has,Q32,Rural development
Q20,Post by Raman on climate policy,P3,has,Q34,Climate policy
Q21,Post by Okonkwo on healthcare,P3,has,Q33,Healthcare
Q22,Post by Whitfield on housing,P3,has,Q35,Housing affordability
Q23,Post by Herrera on national security,P3,has,Q36,National security
Q19,Post by Hale on rural development,P9,mentions,Q28,National Farmers Federation
Q20,Post by Raman on climate policy,P9,mentions,Q30,Climate Action Coalition
Q21,Post by Okonkwo on healthcare,P9,mentions,Q29,Department of Health
Q22,Post by Whitfield on housing,P9,mentions,Q31,Housing Australia
Q23,Post by Herrera on national security,P9,mentions,Q30,Climate Action Coalition
Q13,Speech on rural development (Hale),P9,mentions,Q28,National Farmers Federation
Q14,Speech on healthcare funding (Okonkwo),P9,mentions,Q29,Department of Health
Q15,Speech on climate policy (Raman),P9,mentions,Q30,Climate Action Coalition
Q18,Speech on housing affordability (Whitfield),P9,mentions,Q31,Housing Australia
Q13,Speech on rural development (Hale),P4,has transcript,"""https://students.wikibase.example/wiki/Transcript:Speech_rural_development_Hale""",https://students.wikibase.example/wiki/Transcript:Speech_rural_development_Hale
